Andhra Pradesh,"Andhra University
Acharya Nagarjuna University
Sri Venkateswara University
Sri Krishnadevaraya University
Adikavi Nannaya University
Vikram Simhapuri University
JNTU Kakinada"
Assam,"Gauhati University
Dibrugarh University
Assam Women’s University
Assam Agricultural University
Cotton College State University
Assam Science & Technology University"
Bihar,"Patna University
Magadh University
Lalit Narayan Mithila University
Rajendra Agricultural University
Aryabhatta Knowledge University
Chanakya National Law University"
Chhattisgarh,"Pt. Ravishankar Shukla University
Indira Gandhi Krishi Vishwavidyalaya
Sarguja University
Ayush and Health Sciences University of Chhattisgarh
Hidayatullah National Law University"
Goa,Goa University
Gujarat,"Saurashtra University
Sardar Patel University
Maharaja Sayajirao University of Baroda
Gujarat University
Gujarat Forensic Sciences University
Anand Agricultural University"
Haryana,"YMCA University of Science & Technology
Maharishi Dayananda University
Kurukshetra University
Chaudhary Devi Lal University
Lala Lajpat Rai University of Veterinary and Animal Sciences"
Himachal Pradesh,"Himachal Pradesh University
Himachal Pradesh Technical University
Chaudhary Sarwan Kumar Himachal Pradesh Agricultural University
Dr. Y.S. Parmar University of Horticulture and Forestry"
Jammu & Kashmir,"Jammu University
Kashmir University
Shri Mata Vaishno Devi University
Islamic University of Science & Technology
Baba Ghulam Shah Badshah University"
Jharkhand,"Vinoba Bhave University
Ranchi University
Kolhan University
Bisra Agricultural University
Sido Kanhu University"
Karnataka,"Bangalore University
Davangere University
Gulbarga University
Karnataka University
Mangalore University
Mysore University
Visveswaraya Technological University"
Kerala,"Kerala University
Kannur University
Calicut University
Mahatma Gandhi University
Cochin University of Science & Technology
Kerala University of Fisheries and Ocean Sciences"
Madhya Pradesh,"Vikram University
Jiwaji University
Devi Ahilya Vishwavidyalaya
Maharaja Chhatrasal Bundelkhand Vishwavidyalaya
Barkatullah University
Awadesh Pratap Singh University"
Maharashtra,"Shivaji University
Mumbai University
Solapur University
Savitribai Phule Pune University
Dr. Baba Saheb Ambedkar Marathwada University
Gondwana University
Smt. Nathibai Damodar Thackersey Women’s University"
Manipur,Manipur Technical University
Odisha,"Utkal University
Sambalpur University
Ravenshaw University
Berhampur University
Khallikote University
Biju Patnaik University of Technology
Fakir Mohan University"
Punjab,"Guru Nanak Dev University
Baba Farid University of Health Sciences
Punjabi University
Punjab Agricultural University
Maharaja Ranjit Singh Punjab Technical University"
Rajasthan,"University of Kota
Shekhawati University
Rajasthan University
Maharishi Dayananda Saraswati University
Mohan Lal Sukhadia University
Jai Narain Vyas University"
Tamil Nadu,"Madras University
Bharathidasan University
Bharathiar University
Annamalai University
Anna University
Alagappa University
Madurai Kamaraj University
Periyar University
Thiruvalluvar University"
Telangana,"Telangana University
Satavahana University
Osmania University
Kakatiya University
Mahatma Gandhi University
Acharya N.G. Ranga Agricultural University"
Tripura,Maharaja Bir Bikram University
Uttar Pradesh,"Allahabad State University
Bundelkhand University
Chatrapati Sahuji Maharaj Kanpur University
Deen Dayal Upadhyay Gorakhpur University
Lucknow University
Dr. B.R. Ambedkar University (Agra University)
Veer Bahadur Singh Purvanchal University"
Uttarakhand,"Kumaun University
Doon University
Uttarakhand Sanskrit University"
West Bengal,"Calcutta University
Jadavpur University
Kalyani University
Presidency University
Burdwan University
Aliah University
Bankura University
Rabindra Bharati University"
NCT of Delhi,"Guru Gobind Singh Indraprastha University
Delhi Technological University
Bharat Ratna Dr. BR Ambedkar University
Indira Gandhi Delhi Technical University for Women"
Chandigarh,Panjab University